4	1818479	10.000017	0.000005	0.693694
8	1519200	10.000007	0.000007	1.159057
16	1491667	10.000053	0.000007	2.276091
32	1532247	10.000002	0.000007	4.676046
64	1530226	10.000042	0.000007	9.339719
128	1523017	10.000017	0.000007	18.591484
256	1505247	10.000004	0.000007	36.749181
512	1486149	10.000006	0.000007	72.565828
1024	1446686	10.000010	0.000007	141.277795
2048	1370237	10.000037	0.000007	267.623425
4096	1268935	10.000010	0.000008	495.677250
8192	1090531	10.000006	0.000009	851.976856
16384	871918	10.000013	0.000011	1362.370056
32768	680320	10.000021	0.000015	2125.995641
65536	567219	10.000044	0.000018	3545.103283
131072	365521	10.000033	0.000027	4568.997249
